Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/trainers/2005/pokemon/,1,0,1129.8109999999895,1129.8109999999895,1129.8109999999895,1129.8109999999895,86.0,0.0017218351296630868,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/trainers/2006/pokemon/,1,0,1914.5820999999899,1914.5820999999899,1914.5820999999899,1914.5820999999899,86.0,0.0017218351296630868,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
POST,/trainers/2007/pokemon/,1,0,1737.163900000013,1737.163900000013,1737.163900000013,1737.163900000013,86.0,0.0017218351296630868,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,/trainers/2008/pokemon/,1,0,2109.935000000007,2109.935000000007,2109.935000000007,2109.935000000007,86.0,0.0017218351296630868,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/trainers/2009/pokemon/,1,0,5809.103100000016,5809.103100000016,5809.103100000016,5809.103100000016,86.0,0.0017218351296630868,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
POST,/trainers/2010/pokemon/,1,0,763.1441999999993,763.1441999999993,763.1441999999993,763.1441999999993,86.0,0.0017218351296630868,0.0,760,760,760,760,760,760,760,760,760,760,760
POST,/trainers/2011/pokemon/,1,0,2786.7004000000006,2786.7004000000006,2786.7004000000006,2786.7004000000006,86.0,0.0017218351296630868,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
POST,/trainers/2012/pokemon/,1,0,7896.072900000007,7896.072900000007,7896.072900000007,7896.072900000007,86.0,0.0017218351296630868,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
POST,/trainers/2013/pokemon/,1,0,2098.6985999999774,2098.6985999999774,2098.6985999999774,2098.6985999999774,86.0,0.0017218351296630868,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/trainers/2014/pokemon/,1,0,1702.2646000000066,1702.2646000000066,1702.2646000000066,1702.2646000000066,86.0,0.0017218351296630868,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,/trainers/2015/pokemon/,1,0,3818.8135999999986,3818.8135999999986,3818.8135999999986,3818.8135999999986,86.0,0.0017218351296630868,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
POST,/trainers/2016/pokemon/,1,0,745.4307999999799,745.4307999999799,745.4307999999799,745.4307999999799,86.0,0.0017218351296630868,0.0,750,750,750,750,750,750,750,750,750,750,750
POST,/trainers/2017/pokemon/,1,0,2260.6810999999993,2260.6810999999993,2260.6810999999993,2260.6810999999993,86.0,0.0017218351296630868,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/trainers/2018/pokemon/,1,0,7667.470400000013,7667.470400000013,7667.470400000013,7667.470400000013,86.0,0.0017218351296630868,0.0,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700
POST,/trainers/2019/pokemon/,1,0,1108.7382999999988,1108.7382999999988,1108.7382999999988,1108.7382999999988,86.0,0.0017218351296630868,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/trainers/2020/pokemon/,1,0,994.932399999982,994.932399999982,994.932399999982,994.932399999982,86.0,0.0017218351296630868,0.0,990,990,990,990,990,990,990,990,990,990,990
POST,/trainers/2021/pokemon/,1,0,687.2753000000102,687.2753000000102,687.2753000000102,687.2753000000102,86.0,0.0017218351296630868,0.0,690,690,690,690,690,690,690,690,690,690,690
POST,/trainers/2022/pokemon/,1,0,4418.449899999985,4418.449899999985,4418.449899999985,4418.449899999985,86.0,0.0017218351296630868,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
POST,/trainers/2023/pokemon/,1,0,5071.615500000007,5071.615500000007,5071.615500000007,5071.615500000007,86.0,0.0017218351296630868,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
POST,/trainers/2024/pokemon/,1,0,7322.905399999996,7322.905399999996,7322.905399999996,7322.905399999996,86.0,0.0017218351296630868,0.0,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300
POST,/trainers/2025/pokemon/,1,0,3345.8337000000142,3345.8337000000142,3345.8337000000142,3345.8337000000142,86.0,0.0017218351296630868,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/trainers/2026/pokemon/,1,0,1293.2505999999933,1293.2505999999933,1293.2505999999933,1293.2505999999933,86.0,0.0017218351296630868,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/trainers/2027/pokemon/,1,0,2048.9474000000027,2048.9474000000027,2048.9474000000027,2048.9474000000027,86.0,0.0017218351296630868,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/trainers/2028/pokemon/,1,0,7508.085599999987,7508.085599999987,7508.085599999987,7508.085599999987,86.0,0.0017218351296630868,0.0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
POST,/trainers/2029/pokemon/,1,0,5593.1051000000025,5593.1051000000025,5593.1051000000025,5593.1051000000025,86.0,0.0017218351296630868,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
POST,/trainers/2030/pokemon/,1,0,2622.430799999989,2622.430799999989,2622.430799999989,2622.430799999989,86.0,0.0017218351296630868,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,/trainers/2031/pokemon/,1,0,784.4058000000018,784.4058000000018,784.4058000000018,784.4058000000018,86.0,0.0017218351296630868,0.0,780,780,780,780,780,780,780,780,780,780,780
POST,/trainers/2032/pokemon/,1,0,5009.985900000003,5009.985900000003,5009.985900000003,5009.985900000003,86.0,0.0017218351296630868,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
POST,/trainers/2033/pokemon/,1,0,8051.892600000002,8051.892600000002,8051.892600000002,8051.892600000002,86.0,0.0017218351296630868,0.0,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
POST,/trainers/2034/pokemon/,1,0,1398.9851999999985,1398.9851999999985,1398.9851999999985,1398.9851999999985,86.0,0.0017218351296630868,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/trainers/2035/pokemon/,1,0,3352.8169999999873,3352.8169999999873,3352.8169999999873,3352.8169999999873,86.0,0.0017218351296630868,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
POST,/trainers/2036/pokemon/,1,0,4477.132099999977,4477.132099999977,4477.132099999977,4477.132099999977,86.0,0.0017218351296630868,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
POST,/trainers/2037/pokemon/,1,0,2260.4067999999984,2260.4067999999984,2260.4067999999984,2260.4067999999984,86.0,0.0017218351296630868,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/trainers/2038/pokemon/,1,0,4209.208599999983,4209.208599999983,4209.208599999983,4209.208599999983,86.0,0.0017218351296630868,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
POST,/trainers/2039/pokemon/,1,1,8036.035900000002,8036.035900000002,8036.035900000002,8036.035900000002,21.0,0.0017218351296630868,0.0017218351296630868,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/trainers/2040/pokemon/,1,0,844.7438999999974,844.7438999999974,844.7438999999974,844.7438999999974,86.0,0.0017218351296630868,0.0,840,840,840,840,840,840,840,840,840,840,840
POST,/trainers/2041/pokemon/,1,0,7375.008400000013,7375.008400000013,7375.008400000013,7375.008400000013,86.0,0.0017218351296630868,0.0,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
POST,/trainers/2042/pokemon/,1,0,3175.103799999988,3175.103799999988,3175.103799999988,3175.103799999988,86.0,0.0017218351296630868,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
POST,/trainers/2043/pokemon/,1,1,8053.388900000016,8053.388900000016,8053.388900000016,8053.388900000016,21.0,0.0017218351296630868,0.0017218351296630868,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
POST,/trainers/2044/pokemon/,1,0,2276.592800000003,2276.592800000003,2276.592800000003,2276.592800000003,86.0,0.0017218351296630868,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/trainers/2045/pokemon/,1,0,5671.278000000001,5671.278000000001,5671.278000000001,5671.278000000001,86.0,0.0017218351296630868,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
POST,/trainers/2046/pokemon/,1,0,1759.0756999999826,1759.0756999999826,1759.0756999999826,1759.0756999999826,86.0,0.0017218351296630868,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
POST,/trainers/2047/pokemon/,1,0,2080.436899999995,2080.436899999995,2080.436899999995,2080.436899999995,86.0,0.0017218351296630868,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/trainers/2048/pokemon/,1,0,1015.2539000000047,1015.2539000000047,1015.2539000000047,1015.2539000000047,86.0,0.0017218351296630868,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/trainers/2049/pokemon/,1,0,3929.312399999986,3929.312399999986,3929.312399999986,3929.312399999986,86.0,0.0017218351296630868,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/trainers/2050/pokemon/,1,0,4501.639799999993,4501.639799999993,4501.639799999993,4501.639799999993,86.0,0.0017218351296630868,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
POST,/trainers/2051/pokemon/,1,0,1191.1017999999842,1191.1017999999842,1191.1017999999842,1191.1017999999842,86.0,0.0017218351296630868,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/trainers/2052/pokemon/,1,0,4371.803099999994,4371.803099999994,4371.803099999994,4371.803099999994,86.0,0.0017218351296630868,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
POST,/trainers/2053/pokemon/,1,0,1494.3810999999982,1494.3810999999982,1494.3810999999982,1494.3810999999982,86.0,0.0017218351296630868,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
POST,/trainers/2054/pokemon/,1,0,2932.577699999996,2932.577699999996,2932.577699999996,2932.577699999996,86.0,0.0017218351296630868,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
POST,/trainers/2055/pokemon/,1,0,1163.3271000000036,1163.3271000000036,1163.3271000000036,1163.3271000000036,86.0,0.0017218351296630868,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/trainers/2056/pokemon/,1,0,743.7257999999929,743.7257999999929,743.7257999999929,743.7257999999929,86.0,0.0017218351296630868,0.0,740,740,740,740,740,740,740,740,740,740,740
POST,/trainers/2057/pokemon/,1,0,2535.1528999999855,2535.1528999999855,2535.1528999999855,2535.1528999999855,86.0,0.0017218351296630868,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
POST,/trainers/2058/pokemon/,1,0,1958.4981000000141,1958.4981000000141,1958.4981000000141,1958.4981000000141,86.0,0.0017218351296630868,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/trainers/2059/pokemon/,1,0,900.7091999999943,900.7091999999943,900.7091999999943,900.7091999999943,86.0,0.0017218351296630868,0.0,900,900,900,900,900,900,900,900,900,900,900
POST,/trainers/2060/pokemon/,1,0,3143.641900000006,3143.641900000006,3143.641900000006,3143.641900000006,86.0,0.0017218351296630868,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
POST,/trainers/2061/pokemon/,1,0,1988.7291999999945,1988.7291999999945,1988.7291999999945,1988.7291999999945,86.0,0.0017218351296630868,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/trainers/2062/pokemon/,1,1,7642.6916000000065,7642.6916000000065,7642.6916000000065,7642.6916000000065,21.0,0.0017218351296630868,0.0017218351296630868,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
POST,/trainers/2063/pokemon/,1,0,1294.198300000005,1294.198300000005,1294.198300000005,1294.198300000005,86.0,0.0017218351296630868,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/trainers/2064/pokemon/,1,0,1144.9863999999934,1144.9863999999934,1144.9863999999934,1144.9863999999934,86.0,0.0017218351296630868,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/trainers/2065/pokemon/,1,0,2219.49459999999,2219.49459999999,2219.49459999999,2219.49459999999,86.0,0.0017218351296630868,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
POST,/trainers/2066/pokemon/,1,0,8164.000900000019,8164.000900000019,8164.000900000019,8164.000900000019,86.0,0.0017218351296630868,0.0,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
POST,/trainers/2067/pokemon/,1,0,5827.88930000001,5827.88930000001,5827.88930000001,5827.88930000001,86.0,0.0017218351296630868,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
POST,/trainers/2068/pokemon/,1,0,969.5887999999968,969.5887999999968,969.5887999999968,969.5887999999968,86.0,0.0017218351296630868,0.0,970,970,970,970,970,970,970,970,970,970,970
POST,/trainers/2069/pokemon/,1,0,1971.4262999999903,1971.4262999999903,1971.4262999999903,1971.4262999999903,86.0,0.0017218351296630868,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/trainers/2070/pokemon/,1,0,4894.3087000000105,4894.3087000000105,4894.3087000000105,4894.3087000000105,86.0,0.0017218351296630868,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
